UEIC Protocol ID,Protocol Name in Devices4.xls,Protocol Name in ccf2efc / MakeHex,Protocol Name in KM-Master,Freq Hz,Time Base,Zero,One,Form,First Bit,Default,Define,Modulation,EFC Conversion,Remarks
00 00 ,Panasonic (old),Old Panasonic,Panasonic (old),"57,600",833,"1,-1","1,-3",";[4 -4],D:5,F:6,~D:5,~F:6,[1 ^100000]",LSB,,,PWM,Panold,
00 02,Dishplayer (Old),JVC-A -see remarks,Dishplayer (Old),"57,600",400,"1,-7","1,-4","[1 -15];F:8,D:8,[1 -15]",MSB,,,PWM,~LSB,"Add lead-in, repeat portion is JVC-A with One and Zero Reversed - Real protocol is this [1 -15];F:6,U:4,D:6,[1 -15] where U is the unit code"
00 06,Jerrold,Jerrold,Jerrold,0,,"44,-7500","44,-11000",";F:5,[44 -11000]",,,,,,No Device code in this protocol
00 0C,NEC1,NEC1,,"38,341",564,"1,-1","1,-3","[16 -8],D:8,S:8,F:8,~F:8,[1 -78];[16 -4 1 -173]",LSB,S=255-D,,,,
00 0D,Akai,,,"38,095",289,"1,-6.3","1,-2.6",";D:2,F:8,[1 ^25570]",LSB,,,,,
01 0F,Dishplayer,,Dishplayer,"38,400",535,"1,-5","1,-3","[1 -11];F:6,U:2,D:5,[1 -11]",MSB,U=0,,PWM,~MSB,
00 14,Mitsubishi,s16a,Mitsubishi,"32,600",304,"1,-3","1,-7",";D:8,F:8,[1 -80]",LSB,,,PWM,LSB,makeHex S16a--This is also known as JVC1 in Devices.xls
00 18,Electrohome,,,"42,300",381,"-1,1","1,-1","[+1 -4],0:1,31:6,[^45700],[+1 -4],0:1,f:6,[^45700];[+1 -4],0:1,f:6,[^45700]",MSB,,,PPM,,
00 1A,F12,,F12,"38,168",462,"1,-3","3,-1",";D:3,C:1,F:8,[^54336],D:3,C:1,F:8,[^108672] 'When C=0 then, Form=D:3,C:1,F:8,[^54336],D:3,C:1,F:8 When C=1 then, Form=;D:3,C:1,F:8,[^54336],D:3,C:1,F:8,[^108672] ",LSB,,~C=F(0..0)^F(1..1),,~LSB,
00 1C,Denon,Denon,Denon,"37,917",264,"1,-3","1,-7",";D:5,F:8,0:2,[1 -165],D:5,~F:8,3:2,[1 -165]",LSB,,,PWM,~LSB,
00 1C,Sharp,Sharp,Sharp,"37,917",264,"1,-3","1,-7",";D:5,F:8,1:2,[1 -165],D:5,~F:8,2:2,[1 -165]",LSB,,,PWM,~LSB,
00 1F,Panasonic Combo1,Panasonic,Panasonic Combo1,"37,000",432,"1,-1","1,-3",";[8 -4],2:8,32:8,D:8,S:8,F:8,C:8,[1 -173]",LSB,S=0,C=D^S^F,PWM,LSB,
00 21,Viewstar,,,"50,473",337,"1, -8"," 1, -5",";F:5,[1 -17]",LSB,,,,,
00 22,Zenith,,Zenith,"40,244",166,"3,-31,3,-3,3,-25","3,-3,3,-25,3,-31",";[3 -3 3 -25],F:5,[-884] ",MSB,,,PPM,~MSB,ZenithTV
,,,,"40,244",166,"3,-31,3,-3,3,-25","3,-3,3,-25,3,-31",";[3 -31],F:5,[-884]",MSB,,,,~MSB,ZenithCable
,,,,"40,244",166,"3,-31,3,-3,3,-25","3,-3,3,-25,3,-31",";[3 -31],F:7,[-884]",MSB,,,,~MSB,ZenithVCR
,,,,"40,244",166,"3,-31,3,-3,3,-25","3,-3,3,-25,3,-31",";[3 -31],F:6,[-884]",MSB,,,,~MSB,ZenithHD
00 29,Hamlin,,,"28,800",2986,"0,-1","1,-0",";D:4,F:8,[-4]",LSB,,,,LSB,
00 2D,RCA,Repeat portion is RCA,RCA (Old),"58,000",460,"1,-2","1,-4","[40 -8],D:4,F:8,~D:4,~F:8,[1 -15];[8 -8],D:4,F:8,~D:4,~F:8,[1 -15]",MSB,,,PWM,~MSB,The long lead in on the first pulse causes problems in certain units -- not on any of my RCA OEM remotes
00 34,JVC,"JVC1,JVC2",JVC,"38,000",525,"1,-1","1,-3","[16 -8],D:8,F:8,[1 -45];D:8,F:8,[1 -45]",LSB,,,PWM,LSB,
00 3F,X10,X10,X10,"40,000",650,"2,-13","7,-7",";[8 -8],F:5,~F:5,[23 -8]",LSB,,,PWM,LSB,
00 45,,,,"37,879",158,"+1,-31","+1,-47",";[+1 -44],T:1,1:1,F:8,[1 ^121950]       'T=Toggle Bit  The Function is really 6 bits but the device number is the same, or a constant 3 bit 111",,,,,,
00 58,RC-6,,RC-6,"36,000",444,"-1,1","1,-1",";[6 -2],1:1,M:3,[-2 2],D:8,F:8,[-189]   'One Toggle ( Alternate: Form=;[6 -2],1:1,M:3,[2 -2],D:8,F:8,[-189]   'Zero Toggle )",MSB,M=0 ,,PPM,~MSB,
00 5A,NEC1,NEC,NEC1,"38,000",564,"1,-1","1,-3","[16 -8],D:8,S:8,F:8,~F:8,[1 -78];[16 -4 1 -173]",LSB,S=255-D,,PWM,LSB,NEC in MakeHex
00 5A,NEC-4,NEC,NEC Generic,"38,218",560,"1,-1","1,-3","[16 -8],D:8,S:8,F:8,~F:8,[1 -73];[16 -4 1 -175]",LSB,S=255-D,,PWM,LSB,
00 5A,NEC-5,NEC2,NEC Generic,"38,218",560,"1,-1","1,-3",";[16 -8],D:8,S:8,F:8,~F:8,[1 -73]",LSB,S=255-D,,PWM,LSB,
00 5A,NEC-8,NEC,NEC Generic,"38,218",560,"1,-1","1,-3","[16 -8],D:8,S:8,F:8,~F:8,[1 -73];[16 -4 1 -175]",LSB,S=255-D,,PWM,LSB,
00 5A,NEC-10,NEC,NEC Generic,"38,218",561,"1,-1","1,-3","[8 -8],D:8,~S:8,F:8,~F:8,[1 -77],[16 -4 1 -81],[8 -8 1 -3 1 -175],[8 -8 1 -3 1 -175],[8 -8 1 -3 1 -175]",LSB,S=255-D,,PWM,LSB,
00 5A,NEC2,NEC2,NEC2,"38,000",564,"1,-1","1,-3",";[16 -8],D:8,S:8,F:8,~F:8,[1 -78]",LSB,S=255-D,,PWM,LSB,
00 5A,NEC-28,NEC,NEC Generic,"38,000",563,"1,-1","1,-3","[16 -8],D:8,S:8,F:8,~F:8,[1 -78];[16 -4 1 -175]",LSB,S=255-D,,PWM,LSB,
00 5A,NEC-30,NEC,NEC Generic,"38,000",550,"1,-1","1,-3","[8 -8],D:8,D:8,F:8,~F:8,[1 -85];[8 -8 1 -1 1 -177]",LSB,,,PWM,LSB,
00 5A,NEC-31,NEC2,NEC Generic,"38,080",516,"1,-1","1,-3",";[8 -8],D:8,D:8,F:8,~F:8,[1 -90]",LSB,,,PWM,LSB,2nd Device is NOT the compliment
00 5B,NEC1 38.7kHz,NEC,,"38,000",1117,"1,-1","1,-3","[16 -8],D:8,~S:8,F:8,~F:8,[1 -77],[16 -8]D:8,~S:8,F:8,~F:8,[1 -77],[16 -4 1 -71],[16 -4 1 -71],[16 -4 1 -71]",LSB,S=255-D,,PWM,~LSB,
00 5C,Proton,,Proton,"37,908",530,"1,-1","1,-3",";[16 -8],D:8,[1 -8],F:8,[1 -40]",LSB,,,PWM,LSB,
00 5D,Audiovox,,,"40,000",500,"1,-1","1,-3",";[16 -8],D:8,[1 -8],F:8,[1 -40]",LSB,,,PWM,LSB,
00 5E,Aiwa,s42,Aiwa,"38,000",564,"1,-1","1,-3","[16 -8],D:13,~D:13,F:8,~F:8,[1 -42];[16 -8 1 -165]",LSB,,,PWM,~LSB,Was S42
00 5F,Pioneer 2CMD,NEC2,Pioneer 2CMD,"40,000",564,"1,-1","1,-3",";[16 -8],D:8,S:8,F:8,~F:8,[1 -78]",LSB,S=255-D,,PWM,LSB,
00 65,Emerson,Emerson,Emerson,"36,700",872,"1,-1","1,-3",";[4 -4],D:6,F:6,~D:6,~F:6,[1 -39]",LSB,,,PWM,LSB,
00 6A,Pioneer 3DEV,NEC2,Pioneer 3DEV,"40,000",564,"1,-1","1,-3",";[16 -8],D:8,S:8,F:8,~F:8,[1 -78]",LSB,S=255-D,,PWM,LSB,
00 78,Sc-Atl-6,,,"57,143",846,"1,-1","1,-3",";[4 -4],D:6,F:6,~D:6,~F:6,[1 -40]",MSB,,,,Sc-Atl-6,
00 7E,Pioneer DVD,NEC2,Pioneer DVD,"40,000",564,"1,-1","1,-3",";[16 -8],D:8,S:8,F:8,~F:8,[1 -78]",LSB,S=255-D,,PWM,LSB,
